Brand,Model,Year,Attrebutes,Miles(k miles),Registration,Control,Fuel,Location,Price(£)
Land Rover,Range Rover Sport,2024.0,(24) - 3.0 D300 MHEV Dynamic SE Auto 4WD Euro 6 (s/s) 5dr,10,2024 (24 reg),Auto,Diesel,Boroughbridge ,77850
Audi,R8,2015.0,"- 5.2 SPYDER V10 QUATTRO [4X SERVICES, SAT NAV, LEATHER, HEATED SEATS, REVERS 2-Door",25,2015 (15 reg),Auto,Petrol,Leeds ,59875
Vauxhall,Corsa,2012.0,- 1.2 SE 5dr,85,2012 (62 reg),Manual,Petrol,York ,3495
BMW,1 Series,2011.0,(11) - 2.0 118d M Sport Steptronic Euro 5 2dr,159,2011 (11 reg),Auto,Diesel,Wakefield ,2995
Land Rover,Range Rover,2021.0,(21) - 3.0 D300 MHEV Autobiography Auto 4WD Euro 6 (s/s) (300 ps) 5-Door,45,2021 (21 reg),Auto,Diesel,Oldham ,49949
BMW,3 Series,2016.0,(66) - 320d M Sport 5dr Step Auto ***AMAZING EXAMPLE***,109,2016 (66 reg),Auto,Diesel,Sheffield ,14995
Porsche,Cayenne,2013.0,(62) - 3.0 TD V6 Tiptronic 4WD Euro 5 (s/s) 5dr,80,2013 (62 reg),Auto,Diesel,Rotherham ,13490
BMW,i4,2025.0,- 250kW eDrive40 M Sport 83.9kWh 5dr Auto,101,2025 (25 reg),Auto,Electric,Harrogate ,65760
Toyota,Yaris,2017.0,(17) - 1.5 VVT-i Icon Tech Euro 6 5dr,111,2017 (17 reg),Manual,Petrol,Halifax ,5995
Ford,Ranger,2023.0,- 2.0 EcoBlue Wildtrak Pickup Double Cab 4dr Diesel Auto 4WD Euro 6 (s/s) (21,35,2023 (23 reg),Auto,Diesel,Sheffield ,33480
Porsche,Cayenne,2012.0,- 3.0 TD V6 5-Door,93,2012 (12 reg),Auto,Diesel,OLDHAM ,12795
Land Rover,Defender,2020.0,"- 2.0 D240 S 110 Auto *1 Former Keeper, FSH & MOT 03/26* 5-Door",91,2020 (70 reg),Auto,Diesel,Doncaster ,37975
Land Rover,Range Rover,2024.0,- HSE SLIDING 1 OWNER PANORAMIC ROOF 5-Door,3,2024 (24 reg),Auto,Hybrid,Sheffield ,99980
Land Rover,Defender,2021.0,- HARD TOP,31,2021 (21 reg),Auto,Diesel,Sheffield ,51594
SEAT,Leon,2015.0,(65) - 2.0 TDI CR FR Euro 5 (s/s) 5dr,84,2015 (65 reg),Manual,Diesel,Cleckheaton ,6750
Mercedes-Benz,CLS,2013.0,(63) - CLS 250 CDI BlueEFFICIENCY AMG Sport 4dr Tip Auto,175,2013 (63 reg),Auto,Diesel,Armley ,5895
Citroen,C3,2004.0,(04) - 1.4i LX 5dr,95,2004 (4 reg),Manual,Petrol,Keighley ,795
Fiat,500,2012.0,(61) - 1.2 Lounge 3dr Dualogic [Start Stop],91,2012 (61 reg),Auto,Petrol,Mexborough ,3795
Ford,Ranger,2024.0,- 2.0 TD EcoBlue Wildtrak Pickup Double Cab 4dr Diesel Auto 4WD Euro 6 (s/s),28,2024 (73 reg),Auto,Diesel,Sheffield ,38376
Ford,Mondeo,2013.0,(13) - 1.6 TDCi ECOnetic Titanium X Euro 5 (s/s) 5dr,132,2013 (13 reg),Manual,Diesel,Rotherham ,2790
Vauxhall,Corsa,2019.0,"(19) - 1.4i ecoTEC Energy Hatchback 5dr Petrol Manual Euro 6 (75 ps) Touchscreen,",41,2019 (19 reg),Manual,Petrol,Rochdale ,7990
Nissan,ARIYA,2025.0,- 320Kw Nismo 87Kwh 22Kwch 5Dr E-4Orce Auto,8,2025 (25 reg),Auto,Electric,Leeds ,47499
Mercedes-Benz,C-Class,2012.0,(62) - C63 4dr Auto,97,2012 (62 reg),Auto,Petrol,Armley ,17495
Skoda,Superb,2009.0,(04) - 2.0 TDI PD 140 Elegance 5dr,165,2009 (9 reg),Manual,Diesel,Armley ,1495
