Brand,Model,Year,Attrebutes,Miles(k miles),Registration,Control,Fuel,Location,Price(£)
Mercedes-Benz,E-Class,2016.0,(16) - E220 BlueTEC AMG NIGHT EDITION PREMIUM 5dr 7G-Tronic + LEATHER + PAN ROOF +,113,2016 (16 reg),Auto,Diesel,Leeds ,10990
BMW,X3,2014.0,(63) - 2.0 20d M Sport Auto xDrive Euro 5 (s/s) 5dr,101,2014 (63 reg),Auto,Diesel,Shipley ,8295
Ford,Fiesta,2009.0,(09) - 1.6 TDCi ECOnetic 5dr,105,2009 (9 reg),Manual,Diesel,Keighley ,2289
Hyundai,i10,2013.0,(63) - 1.2 Active 5dr,47,2013 (63 reg),Manual,Petrol,Rotherham ,3600
Volkswagen,Beetle,2007.0,(57) - 1.6 Luna Cabriolet Euro 4 2dr,113,2007 (57 reg),Manual,Petrol,Bradford ,2490
Nissan,X-Trail,2017.0,(17) - 2.0 DCi TEKNA 5dr 4WD XTRONIC [7 Seater] + LEATHER + PAN ROOF + FSH +,105,2017 (17 reg),Auto,Diesel,Leeds ,10690
BMW,Z4,2005.0,(05) - 2005 2.5i SE 6 CYLINDER CONVERTIBL SILVER FULL SERVICE HISTORY FULL LEATHER 2-Door,104,2005 (5 reg),Manual,Petrol,Bradford ,3599
Mercedes-Benz,E-Class,2022.0,(22) - 2.0 E220dh MHEV AMG Line G-Tronic+ Euro 6 (s/s) 4dr,84,2022 (22 reg),Auto,Hybrid,York ,22750
Ford,Transit,2016.0,- 2.2 TDCi 125ps 350 Chassis Cab 2-Door,130,2016 (66 reg),Manual,Diesel,Castleford ,8490
Toyota,Avensis,2009.0,(09) - 1.8 V-matic TR 5dr,113,2009 (9 reg),Manual,Petrol,Bradford ,2799
Mercedes-Benz,A-Class,2019.0,(19) - A35 4Matic Premium Plus 5dr Auto,67,2019 (19 reg),Auto,Petrol,Sheffield ,26995
Peugeot,5008,2014.0,(64) - 1.6 HDi Allure Euro 5 5dr,113,2014 (64 reg),Manual,Diesel,Wakefield ,3495
Mercedes-Benz,CLS,2013.0,(63) - CLS 250 CDI BlueEFFICIENCY SHOOTING BRAKE ESTATE AUTO 5-Door,109,2013 (63 reg),Auto,Diesel,Leeds ,8490
BMW,3 Series,2015.0,(65) - 320d EfficientDynamics Plus 4dr Step Auto,199,2015 (65 reg),Auto,Diesel,Bradford ,4250
Toyota,RAV4,2014.0,- 2.0 D-4D Invincible SUV 5dr Diesel Manual 2WD Euro 5 (s/s) (124 ps),67,2014 (14 reg),Manual,Diesel,Huddersfield ,9990
BMW,3 Series,2020.0,(70) - 3.0 M340i Touring Auto xDrive Euro 6 (s/s) 5dr,43,2020 (70 reg),Auto,Petrol,"Leeds, Morley, Gildersome ",37990
Audi,A7,2014.0,(64) - 3.0 TDI Quattro S Line 5dr Tip Auto [5 Seat],113,2014 (64 reg),Auto,Diesel,Leeds ,9990
Land Rover,Range Rover Sport,2022.0,- P575 V8 SVR 5-Door,24,2022 (71 reg),Auto,Petrol,Cleckheaton ,55995
Volvo,C30,2010.0,(10) - 1.6 R-Design 2dr,76,2010 (10 reg),Manual,Petrol,Wakefield ,2495
Land Rover,Range Rover,2016.0,(66) - 3.0 TDV6 Vogue SE 4dr Auto,109,2016 (66 reg),Auto,Diesel,Leeds ,17995
Peugeot,207,2012.0,(12) - 1.6 HDi Allure Hatchback 3dr Diesel Manual Euro 5 (92 ps),95,2012 (12 reg),Manual,Diesel,Sheffield ,3000
Land Rover,Range Rover,2019.0,(19) - 3.0 SD V6 Vogue SE Auto 4WD Euro 6 (s/s) 5dr,80,2019 (19 reg),Auto,Diesel,York ,27989
Isuzu,D-Max,2021.0,- 1.9 TD Blade Auto 4WD Euro 6 4dr,66,2021 (70 reg),Auto,Diesel,Doncaster ,22794
Ford,Focus,2020.0,- 1.0 EcoBoost 125 ST-Line 5dr,56,2020 (20 reg),Manual,Petrol,Doncaster ,10789
Audi,TT,2007.0,(07) - 2.0 TURBO TFSI PETROL S TRONIC AUTO 2-Door,134,2007 (7 reg),Auto,Petrol,Bradford ,3990
smart,forfour,2007.0,(07) - 1.5 Passion 5dr Softouch Auto,87,2007 (7 reg),Auto,Petrol,Keighley ,2695
BMW,M3,2018.0,(18) - 3.0 BiTurbo Competition Saloon 4dr Petrol DCT Euro 6 (s/s) (450 ps),35,2018 (18 reg),Auto,Petrol,Oldham ,36449
Peugeot,RCZ,2013.0,(13) - 1.6 THP GT [200 BHP] 2 DOOR MANUAL + LOW MILES + NAV + LEATHER +,75,2013 (13 reg),Manual,Petrol,Leeds ,5990
Peugeot,3008,2017.0,(17) - 1.2 PureTech Allure Euro 6 (s/s) 5dr,67,2017 (17 reg),Manual,Petrol,Keighley ,8989
Ford,S-Max,2014.0,(14) - 2.2 TDCi 200 TITANIUM X SPORT 5dr MANUAL,118,2014 (14 reg),Manual,Diesel,Leeds ,7290
Peugeot,5008,2018.0,(18) - 1.6 BlueHDi GT Line Euro 6 (s/s) 5dr,108,2018 (18 reg),Manual,Diesel,Keighley ,9989
Toyota,Avensis,2005.0,(55) - 1.8 VVT-i T3-X 5dr Seq Auto,81,2005 (55 reg),Auto,Petrol,Bradford ,2499
Land Rover,Range Rover Evoque,2014.0,(14) - 2.2 SD4 Dynamic SUV 5dr Diesel Manual 4WD Euro 5 (s/s) (190 ps),75,2014 (14 reg),Manual,Diesel,Bradford ,10695
Audi,TT,2013.0,(13) - 2.0 TDI Quattro Sport 2dr S Tronic,63,2013 (13 reg),Auto,Diesel,KEIGHLEY ,9395
Porsche,911,2003.0,(53) - 3.6 996 GT2 2dr,34,2003 (53 reg),Manual,Petrol,Keighley ,99989
BMW,1 Series,2019.0,(19) - 116d M Sport 5dr [Nav/Servotronic] Step Auto,120,2019 (19 reg),Auto,Diesel,Sheffield ,9995
Citroen,C1,2010.0,(10) - 1.0i VTR 3dr,78,2010 (10 reg),Manual,Petrol,Keighley ,2695
Audi,A5,2014.0,(63) - 2.0 TDI 177 Quattro S Line Coupe 2-Door,133,2014 (63 reg),Manual,Diesel,Manchester ,4500
BMW,3 Series,2019.0,(69) - 2.0 330e 12kWh M Sport Saloon 4dr Petrol Plug-in Hybrid Auto Euro 6 (s/s) (,13,2019 (69 reg),Auto,Hybrid,Huddersfield ,22995
Volvo,XC90,2022.0,(22) - 2.0 B5 MHEV Momentum Auto 4WD Euro 6 (s/s) 5dr,41,2022 (22 reg),Auto,Hybrid,Doncaster ,34495
Audi,Q3,2019.0,(19) - 1.5 TFSI CoD 35 S line Euro 6 (s/s) 5dr,96,2019 (19 reg),Manual,Petrol,Keighley ,14989
Jaguar,F-Pace,2021.0,(21) - 2.0 D200 MHEV R-Dynamic S SUV 5dr Diesel Auto AWD Euro 6 (s/s) (204 ps),45,2021 (21 reg),Auto,Diesel,Oldham ,27949
Audi,Q5,2018.0,(18) - 2.0 TDI QUATTR0 S LINE 5dr S TRONIC + VIRTUAL COCKPIT + 20'' ALLOYS + FSH,117,2018 (18 reg),Auto,Diesel,Leeds ,15390
Jaguar,E-Pace,2018.0,(67) - 2.0 D150 (s/s) 5dr,138,2018 (67 reg),Manual,Diesel,Keighley ,7989
Vauxhall,Zafira,2015.0,(15) - 2.0 CDTi SE 5dr,74,2015 (15 reg),Manual,Diesel,Chesterfield ,6795
Land Rover,Defender 110,2023.0,(73) - 3.0 D250 MHEV XS Edition Auto 4WD Euro 6 (s/s) 5dr,28,2023 (73 reg),Auto,Diesel,Boroughbridge ,59949
Vauxhall,Astra GTC,2013.0,(63) - 2.0 CDTi 16V SRi 3dr,101,2013 (63 reg),Manual,Diesel,Leeds ,2795
Mercedes-Benz,C-Class,2015.0,(15) - 2.1 C250 CDI AMG Sport Edition G-Tronic+ Euro 5 (s/s) 2dr,65,2015 (15 reg),Auto,Diesel,Leeds ,9495
BMW,X5,2019.0,(19) - 3.0 M50d Auto xDrive Euro 6 (s/s) 5dr,111,2019 (19 reg),Auto,Diesel,Heckmondwike ,32995
Audi,A6 Allroad,2012.0,(62) - 3.0 TDI QUATTRO 245 5dr S TRONIC AUTOMATIC + REAR ENTERTAINMENT SCREENS +,128,2012 (62 reg),Auto,Diesel,Leeds ,7990
Skoda,Karoq,2020.0,(20) - 1.6 TDI SE L 5dr DSG,28,2020 (20 reg),Auto,Diesel,Leeds ,15790
Audi,A3,2014.0,- 1.4 TFSI CoD Sport Saloon 4dr Petrol Manual Euro 6 (s/s) (150 ps),118,2014 (64 reg),Manual,Petrol,Huddersfield ,5995
Porsche,911,2020.0,"(70) - Carrera, 3.0 T, PDK, 385, Full Porsche History, Maxton Kit! 2-Door",28,2020 (70 reg),Auto,Petrol,Huddersfield ,72990
Mercedes-Benz,CLA,2015.0,(15) - 2.1 CLA220 CDI AMG Sport Coupe 7G-DCT Euro 6 (s/s) 4dr,120,2015 (15 reg),Auto,Diesel,Keighley ,7989
Volkswagen,T-Roc,2018.0,(68) - 1.5 TSI EVO R-Line Euro 6 (s/s) 5dr,134,2018 (68 reg),Manual,Petrol,Keighley ,9989
Citroen,C4 Grand Picasso,2014.0,(14) - 1.6 e-HDi Airdream Exclusive ETG6 Euro 5 (s/s) 5dr,156,2014 (14 reg),Auto,Diesel,Wakefield ,3295
Vauxhall,Corsa,2016.0,- 1.4 i ecoFLEX Limited Edition 3-Door,64,2016 (16 reg),Manual,Petrol,Doncaster ,5990
Jaguar,XF,2013.0,(63) - 2.2d [163] SE Business 4dr Auto,175,2013 (63 reg),Auto,Diesel,Bradford ,2950
Lexus,LS,2004.0,(54) - 430 4.3 V8 4dr Auto,85,2004 (54 reg),Auto,Petrol,Bradford ,10250
Mercedes-Benz,C-Class,2018.0,(18) - 4.0 C63 V8 BiTurbo AMG S (Premium) SpdS MCT Euro 6 (s/s) 4dr,58,2018 (18 reg),Auto,Petrol,"Leeds, Morley, Gildersome ",36990
Ford,Kuga,2017.0,(67) - 2.0 TDCi EcoBlue ST-Line AWD Euro 6 (s/s) 5dr,119,2017 (67 reg),Manual,Diesel,Wakefield ,7295
Renault,Austral,2025.0,(25) - E-Tech FHEV Techno Esprit Alpine 5dr Auto,797,2025 (25 reg),Auto,Hybrid,Leeds ,33980
Jaguar,F-Pace,2016.0,(16) - 2.0d Portfolio Auto AWD Euro 6 (s/s) 5dr,102,2016 (16 reg),Auto,Diesel,Keighley ,10989
Land Rover,Range Rover Sport,2019.0,(19) - 3.0 SD V6 Autobiography Dynamic Auto 4WD Euro 6 (s/s) 5dr,85,2019 (19 reg),Auto,Diesel,Keighley ,27989
Nissan,Qashqai,2016.0,(66) - 1.5 dCi N-Connecta 5dr,81,2016 (66 reg),Manual,Diesel,Chesterfield ,8695
Skoda,Kamiq,2025.0,- 1.0 TSI SE L Edition 5dr DSG Automatic,99,2025 (25 reg),Auto,Petrol,York ,23205
Jeep,Wrangler,2025.0,- 2.0 GME Rubicon 4dr Auto8,10,2025 (25 reg),Auto,Petrol,Huddersfield ,54998
Audi,A3,2011.0,(11) - 2.0 TDI Sport 5dr [Start Stop],90,2011 (11 reg),Manual,Diesel,Batley ,3699
Peugeot,5008,2012.0,(12) - 1.6 HDi Active Euro 5 5dr,128,2012 (12 reg),Manual,Diesel,Wakefield ,2295
Mercedes-Benz,CLA,2014.0,(64) - 2.0 CLA45 AMG Speedshift DCT 4MATIC (s/s) 4dr,117,2014 (64 reg),Auto,Petrol,Keighley ,16989
Nissan,Micra,2012.0,(62) - 1.2 Acenta CVT Euro 5 5dr,50,2012 (62 reg),Auto,Petrol,Halifax ,4995
Mercedes-Benz,E-Class,2014.0,(64) - 2.1L E250 CDI AMG SPORT 2d AUTO 204 BHP 2-Door,74,2014 (64 reg),Auto,Diesel,Sheffield ,10995
MG,MG4,2023.0,(72) - 64kWh Trophy Long Range Hatchback 5dr Electric Auto (203 ps),22,2023 (72 reg),Auto,Electric,Oldham ,15299
Toyota,Yaris,2022.0,- 1.6T GR Circuit AWD Euro 6 3dr,993,2022 (22 reg),Manual,Petrol,Castleford ,35000
Ford,Focus,2014.0,(14) - 1.6 TDCi Zetec S Euro 5 (s/s) 5dr,103,2014 (14 reg),Manual,Diesel,Wakefield ,3995
SEAT,Ateca,2018.0,(68) - 1.5 TSI EVO Xcellence [EZ] 5dr,116,2018 (68 reg),Manual,Petrol,Mexborough ,8495
Ford,Mondeo,2005.0,(55) - 2.2 TDCi SIV ST 5dr,95,2005 (55 reg),Manual,Diesel,Bradford ,4990
Vauxhall,Insignia,2014.0,(63) - 2.0 CDTi [163] ecoFLEX Design 5dr [Start Stop],90,2014 (63 reg),Manual,Diesel,Sheffield ,2495
Land Rover,Discovery,2021.0,(21) - 3.0 D300 MHEV R-Dynamic SE SUV 5dr Diesel Auto 4WD Euro 6 (s/s) (300 ps),25,2021 (21 reg),Auto,Diesel,Oldham ,41949
Honda,Civic,2011.0,(11) - 1.8 i-VTEC Ti 5dr,146,2011 (11 reg),Manual,Petrol,Keighley West ,1989
Alfa Romeo,Giulietta,2013.0,- 2.0 JTDM-2 170 Sportiva 5dr TCT,140,2013 (13 reg),Auto,Diesel,York ,4495
Land Rover,Range Rover,2020.0,(70) - 4.4 SD V8 Autobiography Auto 4WD Euro 6 (s/s) 5dr LWB,60,2020 (70 reg),Auto,Diesel,Oldham ,51950
Volvo,V50,2010.0,(60) - 1.6 D2 R-Design Euro 5 5dr,144,2010 (60 reg),Manual,Diesel,Wakefield ,2495
Mercedes-Benz,A-Class,2018.0,(68) - 2.1 A200d AMG Line (Premium) 7G-DCT Euro 6 (s/s) 5dr,23,2018 (68 reg),Auto,Diesel,Keighley ,14989
Peugeot,208,2023.0,(73) - 1.2 PureTech Allure Premium EAT Euro 6 (s/s) 5dr,10,2023 (73 reg),Auto,Petrol,Keighley ,17495
BMW,3 Series,2012.0,(12) - 2.0 320d Sport Plus Edition Euro 5 (s/s) 2dr,111,2012 (12 reg),Manual,Diesel,Sheffield ,4650
Volkswagen,Polo,2015.0,(15) - 1.0 75 SE 3dr,139,2015 (15 reg),Manual,Petrol,Pudsey ,3995
Ford,Kuga,2017.0,(17) - 1.5T EcoBoost Zetec (s/s) 5dr,143,2017 (17 reg),Manual,Petrol,Keighley ,4989
Vauxhall,Mokka,2025.0,- 1.2 Turbo 136 GS 5dr,26,2025 (25 reg),Manual,Petrol,Huddersfield ,22998
Mercedes-Benz,S-Class,2013.0,- 3.0 S350L V6 BlueTEC SE Line 4-Door,110,2013 (63 reg),Auto,Diesel,OLDHAM ,11695
Mercedes-Benz,B-Class,2016.0,(66) - 1.5 B180d SE (Executive) Euro 6 (s/s) 5dr,166,2016 (66 reg),Manual,Diesel,Keighley ,4989
Land Rover,Discovery,2018.0,(68) - 3.0 SD V6 HSE Luxury Auto 4WD Euro 6 (s/s) 5dr,110,2018 (68 reg),Auto,Diesel,Keighley ,22989
Volvo,V40,2014.0,(64) - 1.6 D2 R-Design Lux Nav Euro 5 (s/s) 5dr,107,2014 (64 reg),Manual,Diesel,Mexborough ,4695
Peugeot,2008,2017.0,(17) - 1.2 PureTech Active Euro 6 5dr,106,2017 (17 reg),Manual,Petrol,Keighley ,3989
Bentley,Continental,2007.0,(57) - 6.0 GTC 2dr,88,2007 (57 reg),Auto,Petrol,Keighley ,19989
Nissan,Qashqai,2017.0,(67) - 1.6 dCi TEKNA 5dr + NEW SHAPE + PANORAMIC ROOF + LEATHER + 360 CAMERA +,111,2017 (67 reg),Manual,Diesel,Leeds ,7690
Audi,A3,2013.0,(13) - S LINE 2.0 TDI 6SPD MANUAL +HPI CLEAR + 5-Door,134,2013 (13 reg),Manual,Diesel,Bradford ,4990
Alfa Romeo,Giulia,2025.0,- 2.0 Turbo Veloce 4dr Auto,28,2025 (25 reg),Auto,Petrol,Huddersfield ,38998
BMW,1 Series,2014.0,(64) - 2.0 118d SE Sports Hatch (s/s) 5dr,167,2014 (64 reg),Auto,Diesel,Keighley ,5789
Honda,Civic,2015.0,- 1.6 i-DTEC SE Plus 5dr,64,2015 (15 reg),Manual,Diesel,Doncaster ,7749
Kia,Niro,2020.0,(20) - 150kW First Edition 64kWh 5dr Auto,156,2020 (20 reg),Auto,Electric,Bradford ,8250
Ford,Fiesta,2011.0,(11) - 1.4 Zetec 5dr,65,2011 (11 reg),Manual,Petrol,Keighley ,3695
Honda,HR-V,2017.0,(67) - 1.6 i-DTEC EX (s/s) 5dr,123,2017 (67 reg),Manual,Diesel,Keighley ,6989
Mercedes-Benz,CLA,2022.0,(72) - 250e 1.3 PHEV 260 BHP AMG LINE NIGHT EDITION PREMIUM PLUS 4-Door,27,2022 (72 reg),Auto,Hybrid,Leeds ,26989
Fiat,500,2012.0,(62) - 1.2 Pop Euro 4 3dr,94,2012 (62 reg),Manual,Petrol,Keighley ,2500
Ford,Kuga,2015.0,(64) - 2.0 TDCi Titanium X Sport AWD Euro 6 (s/s) 5dr,102,2015 (64 reg),Manual,Diesel,Oldham ,6690
BMW,1 Series,2014.0,(14) - M135i M Performance 5dr Step Auto,79,2014 (14 reg),Auto,Petrol,Leeds ,12995
Audi,A1,2013.0,(13) - 1.6 TDI S Line 5dr,133,2013 (13 reg),Manual,Diesel,Bradford ,4299
Audi,Q7,2019.0,(19) - 3.0 TDI V6 50 Black Edition Tiptronic quattro Euro 6 (s/s) 5dr,124,2019 (19 reg),Auto,Diesel,Keighley ,21989
Land Rover,Range Rover Sport,2015.0,(65) - 3.0 SDV6 [306] Autobiography Dyn 5dr Auto [7 seat],46,2015 (65 reg),Auto,Diesel,Sheffield ,21995
Land Rover,Range Rover Evoque,2015.0,(65) - 2.2 SD4 Dynamic Auto 4WD Euro 5 (s/s) 5dr,75,2015 (65 reg),Auto,Diesel,Bradford ,15500
Vauxhall,Mokka,2024.0,- 100kW Ultimate 50kWh 5dr Auto,183,2024 (74 reg),Auto,Electric,York ,20998
Jaguar,XF,2012.0,(62) - 2.2 D PORTFOLIO 4d 190 BHP 4-Door,88,2012 (62 reg),Auto,Diesel,Sheffield ,6450
BMW,X1,2014.0,(14) - 2.0 18d xLine xDrive Euro 5 (s/s) 5dr,115,2014 (14 reg),Manual,Diesel,Sheffield ,5189
Audi,RS4,2022.0,(22) - RS 4 TFSI Quattro Vorsprung 5dr Tiptronic,26,2022 (22 reg),Auto,Petrol,Dronfield ,58995
BMW,3 Series,2014.0,(64) - 330d XDRIVE M SPORT TOURING ESTATE AUTOMATIC + PRO NAV + FSH + 5-Door,123,2014 (64 reg),Auto,Diesel,Leeds ,9990
BMW,X4,2018.0,(68) - 2.0 20d M Sport X Auto xDrive Euro 6 (s/s) 5dr,76,2018 (68 reg),Auto,Diesel,York ,21489
Fiat,500,2014.0,(64) - 1.2 S 3dr,45,2014 (64 reg),Manual,Petrol,Keighley ,4695
Peugeot,308,2007.0,(57) - 1.6 HDi FAP SE 5dr,114,2007 (57 reg),Manual,Diesel,Wakefield ,1695
BMW,M3,2002.0,(52) - 3.2i SMG Euro 4 2dr,109,2002 (52 reg),Auto,Petrol,Wakefield ,13495
Citroen,C4,2007.0,(57) - 1.4i 16V LX 5dr,101,2007 (57 reg),Manual,Petrol,Bradford ,1790
Hyundai,TUCSON,2019.0,- 1.6 GDi SE Nav 5dr 2WD,90,2019 (19 reg),Manual,Petrol,Doncaster ,9489
SEAT,Ateca,2016.0,(66) - 2.0 TDI XCELLENCE 4Drive Euro 6 (s/s) 5dr,103,2016 (66 reg),Manual,Diesel,Keighley ,7989
Kia,Picanto,2015.0,(15) - 1.0 1 5dr,85,2015 (15 reg),Manual,Petrol,Castleford ,3895
BMW,2 Series,2015.0,(65) - 218d M Sport 5dr Step Auto / 7 Seater / £35 Tax.,172,2015 (65 reg),Auto,Diesel,Huddersfield ,5490
Vauxhall,Agila,2011.0,- 1.2 VVT SE 5dr Auto ## APPLE/ANDROID CAR PLAY FITTED##,28,2011 (11 reg),Auto,Petrol,Wakefield ,5490
Land Rover,Discovery,2015.0,(15) - 3.0 SDV6 HSE LUXURY 5dr AUTO + 7 SEATS + LEATHER + PAN ROOF + TV'S +,125,2015 (15 reg),Auto,Diesel,Leeds ,14990
Vauxhall,Insignia,2018.0,(68) - 1.6 Turbo D [136] Elite Nav 5dr,44,2018 (68 reg),Manual,Diesel,Sheffield ,10495
Audi,A3,2016.0,(66) - 1.6 TDI SE Technik Sportback S Tronic Euro 6 (s/s) 5dr,104,2016 (66 reg),Auto,Diesel,Dukinfield ,7995
BMW,5 Series,2017.0,(67) - 2.0 520d M Sport Auto xDrive Euro 6 (s/s) 4dr,113,2017 (67 reg),Auto,Diesel,Dukinfield ,13495
Renault,Captur,2013.0,(63) - 0.9 TCe ENERGY Dynamique S MediaNav Euro 5 (s/s) 5dr,95,2013 (63 reg),Manual,Petrol,Halifax ,4950
Dacia,Sandero Stepway,2014.0,(63) - 0.9 TCe Laureate 5dr,69,2014 (63 reg),Manual,Petrol,Wakefield ,4000
Ford,Fiesta,2012.0,(62) - 1.25 Edge 3dr,80,2012 (62 reg),Manual,Petrol,Wakefield ,2989
Land Rover,Range Rover Velar,2018.0,(68) - 2.0 D180 R-Dynamic SE 5dr Auto,66,2018 (68 reg),Auto,Diesel,Bradford ,22999
Land Rover,Range Rover,2015.0,(65) - 4.4 SD V8 Autobiography Auto 4WD Euro 6 (s/s) 5dr,70,2015 (65 reg),Auto,Diesel,Oldham ,27950
Nissan,Juke,2024.0,(24) - 1.0 DiG-T Tekna 5dr DCT,1,2024 (24 reg),Auto,Petrol,York ,24990
BMW,M4,2021.0,- 3.0 M4 Competition Coupe 2-Door,27,2021 (21 reg),Auto,Petrol,"Holmfirth, Hepworth ",53495
MINI,Hatch,2014.0,(63) - 1.6 One 3dr,97,2014 (63 reg),Manual,Petrol,Knaresborough ,3995
Vauxhall,Adam,2014.0,(64) - 1.2 16v JAM Euro 5 3dr,82,2014 (64 reg),Manual,Petrol,"Oldham, Chadderton ",3595
Honda,HR-V,2016.0,(16) - 1.6 i-DTEC SE Navi (s/s) 5dr,120,2016 (16 reg),Manual,Diesel,Keighley ,5989
Mercedes-Benz,E-Class,2014.0,(14) - E220 CDI AMG Sport 2dr 7G-Tronic,158,2014 (14 reg),Auto,Diesel,Bradford ,4950
Nissan,X-Trail,2024.0,(74) - 1.5 E-Power 204 Tekna 5dr Xtronic,10,2024 (74 reg),Auto,Hybrid,York ,36990
Ford,Focus,2017.0,(17) - 1.5 TDCi ST-Line Hatchback 5dr Diesel Manual Euro 6 (s/s) (120 ps),93,2017 (17 reg),Manual,Diesel,Sheffield ,8450
Suzuki,Swift,2009.0,(59) - 1.3 GL 3dr,135,2009 (59 reg),Manual,Petrol,Rochdale ,1199
Audi,A4 Avant,2015.0,(15) - 2.0 TDI SE Technik Multitronic Euro 5 (s/s) 5dr,85,2015 (15 reg),Auto,Diesel,Shipley ,8295
Porsche,911,2005.0,- 997 Carrera S 2-Door,58,2005 (54 reg),Auto,Petrol,Cottingley ,25995
Land Rover,Range Rover Sport,2018.0,(18) - 3.0 SDV6 HSE 5dr Auto,83,2018 (18 reg),Auto,Diesel,High Peak ,24995
Audi,A4,2017.0,- 2.0T FSI Sport 4dr,107,2017 (17 reg),Manual,Petrol,Doncaster ,8489
Land Rover,Range Rover,2016.0,(16) - 4.4 SD V8 Autobiography Auto 4WD Euro 6 (s/s) 5dr,70,2016 (16 reg),Auto,Diesel,Oldham ,26950
Ford,Kuga,2024.0,- ST-LINE- With Drivers Assistance Pack CVT 5-Door,10,2024 (74 reg),Auto,Petrol,Castleford ,28500
Audi,Q5,2016.0,(16) - 2.0 TDI [190] Quattro S Line Plus 5dr,111,2016 (16 reg),Manual,Diesel,Chesterfield ,9990
Porsche,Macan,2021.0,(71) - 2.9T V6 S SUV 5dr Petrol PDK 4WD Euro 6 (s/s) (380 ps),45,2021 (71 reg),Auto,Petrol,Oldham ,47449
BMW,X1,2013.0,(63) - 2.0 20d M Sport SUV 5dr Diesel Auto xDrive Euro 5 (s/s) (184 ps),70,2013 (63 reg),Auto,Diesel,Bradford ,7495
Vauxhall,Insignia,2018.0,(18) - 1.6 Turbo D ecoTEC BlueInjection Elite Nav Sports Tourer Euro 6 (s/s) 5dr,92,2018 (18 reg),Manual,Diesel,Keighley ,7989
Mercedes-Benz,A-Class,2019.0,(69) - 1.3 A200 Sport (Executive) Euro 6 (s/s) 5dr,90,2019 (69 reg),Manual,Petrol,Keighley ,12989
BMW,3 Series,2010.0,(10) - 2.0 320d M Sport Euro 5 2dr,106,2010 (10 reg),Manual,Diesel,Sheffield ,3495
Land Rover,Defender,2022.0,(22) - 3.0 D250 MHEV X-Dynamic HSE SUV 3dr Diesel Auto 4WD Euro 6 (s/s) (250 ps),25,2022 (22 reg),Auto,Diesel,Oldham ,49749
Kia,Sportage,2016.0,(16) - 1.7 CRDi ISG 3 5dr,73,2016 (16 reg),Manual,Diesel,Chesterfield ,10000
Ford,Focus,2011.0,(11) - 2.5 SIV ST-2 5dr,70,2011 (11 reg),Manual,Petrol,Bradford ,7490
Jaguar,XJ,2006.0,(06) - 2.7 TDVi Sovereign 4dr,158,2006 (6 reg),Auto,Diesel,Keighley ,2489
Land Rover,Discovery,2018.0,(68) - 3.0 SD V6 HSE Auto 4WD Euro 6 (s/s) 5dr,103,2018 (68 reg),Auto,Diesel,Keighley ,21989
Audi,TT,2015.0,(15) - 2.0T FSI QUATTRO S LINE 2dr S TRONIC,81,2015 (15 reg),Auto,Petrol,Leeds ,12290
Volkswagen,Passat,2016.0,"(66) - 2.0 TDI GT ESTATE 5dr DSG + LEATHER + PANROOF +,£20 YR TAX + 12 MONTH MOT",160,2016 (66 reg),Auto,Diesel,Leeds ,8290
Peugeot,107,2013.0,(63) - 1.0 12V Envy Euro 5 5dr,63,2013 (63 reg),Manual,Petrol,Keighley ,2989
Renault,Twingo,2015.0,(65) - 0.9 TCE DYNAMIQUE S 5dr [Start Stop] + £0 ROAD TAX +,100,2015 (65 reg),Manual,Petrol,Leeds ,3990
Audi,A4,2013.0,(63) - 2.0 TDI Black Edition Saloon 4dr Diesel Manual quattro Euro 5 (s/s) (177 ps,102,2013 (63 reg),Manual,Diesel,Sheffield ,7450
Nissan,Juke,2024.0,(74) - 1.0 DiG-T Tekna 5dr DCT,10,2024 (74 reg),Auto,Petrol,York ,24495
Peugeot,107,2013.0,- 1.0L Active Hatchback 5dr Petrol Manual Euro 5 (68 bhp),55,2013 (13 reg),Manual,Petrol,Castleford ,3490
Mercedes-Benz,A-Class,2013.0,(13) - 1.8 A180 CDI BlueEfficiency AMG Sport Hatchback 5dr Diesel 7G-DCT Euro 5 (s,98,2013 (13 reg),Auto,Diesel,Rochdale ,7995
Peugeot,208,2022.0,(22) - 1.5 BlueHDi GT Euro 6 (s/s) 5dr,83,2022 (22 reg),Manual,Diesel,Keighley ,8989
Subaru,Impreza,2007.0,(07) - 2.5 WRX STI Type UK 4dr,51,2007 (7 reg),Manual,Petrol,Keighley ,13989
BMW,1 Series,2022.0,(72) - 2.0 M135i Hatchback 5dr Petrol Auto xDrive Euro 6 (s/s) (306 ps),36,2022 (72 reg),Auto,Petrol,Huddersfield ,27995
Land Rover,Range Rover Sport,2022.0,- 3.0 D250 MHEV HSE SUV 5dr Diesel Auto 4WD Euro 6 (s/s) (250 ps),30,2022 (71 reg),Auto,Diesel,Sheffield ,38480
Volvo,V90,2019.0,(19) - 2.0 D5 PowerPulse Auto AWD Euro 6 (s/s) 5dr,70,2019 (19 reg),Auto,Diesel,Harrogate ,22489
Jeep,Renegade,2016.0,(16) - 1.4T MultiAirII Longitude Euro 6 (s/s) 5dr,95,2016 (16 reg),Manual,Petrol,Keighley ,4789
Audi,S3,2010.0,(60) - 2.0 TFSI Black Edition Sportback S Tronic quattro 5dr,102,2010 (60 reg),Auto,Petrol,Keighley ,7989
