Brand,Model,Year,Miles(k miles),Registration,Control,Fuel,Location,Price(£),EngineSize,Doors,Emission,ModelFull,logPrice
Vauxhall,Corsa,2019,41,2019 (19 reg),Manual,Petrol,Rochdale ,7990,1.4,5,Euro 6,"i ecoTEC Energy Hatchback Petrol Manual (75 ps) Touchscreen,",8.986071187374463
Nissan,ARIYA,2025,8,2025 (25 reg),Auto,Electric,Leeds ,47499,1.6,5,Unknown,- 320Kw Nismo 87Kwh 22Kwch E-4Orce Auto,10.768484990022733
Mercedes-Benz,C-Class,2012,97,2012 (62 reg),Auto,Petrol,Armley ,17495,1.6,4,Unknown,C63 Auto,9.769727562356604
Skoda,Superb,2009,165,2009 (9 reg),Manual,Diesel,Armley ,1495,2.0,5,Unknown,TDI PD 140 Elegance,7.310550158534422
Porsche,Macan,2021,29,2021 (21 reg),Auto,Petrol,Sheffield ,41480,2.0,5,Euro 6 (s/s),- SUV Petrol PDK 4WD (245 ps),10.632990770056727
Honda,CR-V,2010,128,2010 (60 reg),Manual,Petrol,Stalybridge ,3250,2.0,5,Euro 5,i-VTEC ES-T 4WD,8.086717920303906
BMW,i4,2025,101,2025 (25 reg),Auto,Electric,Harrogate ,65230,3.9,5,Unknown,- 250kW eDrive40 M Sport 8kWh Auto,11.085690095042095
Mercedes-Benz,CLA,2014,97,2014 (14 reg),Auto,Diesel,Rotherham ,9950,2.1,4,Euro 6 (s/s),CLA220 CDI AMG Sport Coupe 7G-DCT,9.205428327615163
Land Rover,Discovery,2000,151,2000 (X),Manual,Diesel,Wakefield ,3999,2.5,5,Unknown,(X) - TD5 GS (5 Seats),8.294049640102028
Land Rover,Range Rover Sport,2023,6,2023 (23 reg),Auto,Diesel,Wakefield ,79990,3.0,5,EURO 6,2023 RANGE ROVER SPORT D350 AUTOBIOGRAPHY AUTO 4WD,11.28966940732742
Peugeot,206,2004,70,2004 (54 reg),Manual,Petrol,Bradford ,1150,1.4,5,Unknown,Zest 2 [AC],7.048386408721883
Peugeot,2008,2014,138,2014 (14 reg),Manual,Diesel,Cleckheaton ,1995,1.6,5,Euro 5 (s/s),e-HDi Feline (Calima),7.59890045687141
Peugeot,2008,2015,22,2015 (65 reg),Manual,Diesel,Castleford ,7490,1.6,5,Unknown,- BlueHDi 120 Allure,8.921457578947884
MINI,Countryman,2019,35,2019 (68 reg),Manual,Petrol,Rochdale ,13990,1.5,5,Euro 6 (s/s),"Cooper Classic SUV Petrol Manual (136 ps) Low Mileage,",9.546169544733285
Peugeot,3008,2018,80,2018 (68 reg),Manual,Diesel,Leeds ,9240,1.5,5,Euro 6 (s/s),BlueHDi Allure,9.13140538388804
Hyundai,i10,2015,31,2015 (15 reg),Auto,Petrol,Ashton-under-lyne ,8095,1.2,5,Unknown,Premium Auto,8.999125391527247
Peugeot,208,2014,87,2014 (14 reg),Manual,Diesel,Cleckheaton ,3250,1.6,5,Euro 5 (s/s),e-HDi Feline (Nav),8.086717920303906
BMW,i4,2025,101,2025 (25 reg),Auto,Electric,Harrogate ,57610,1.6,5,Unknown,- 210kW eDrive35 M Sport 70kWh Auto,10.961468800673332
Porsche,Boxster,2004,122,2004 (4 reg),Manual,Petrol,Bradford ,4999,2.7,2,Unknown,- 2004 [228] CONVERTIBLE GREY FULL LEATHER SERVICE HISTORY,8.517193191416238
Aston Martin,DBS,2022,5,2022 (72 reg),Auto,Petrol,Boroughbridge ,167995,5.2,2,Euro 6 (s/s),V12 BiTurbo Volante Auto,12.031695448578136
Land Rover,Defender 110,2020,45,2020 (70 reg),Auto,Diesel,York ,46489,2.0,5,Euro 6 (s/s),SD4 S Auto 4WD,10.74699251468463
Ford,Kuga,2016,96,2016 (16 reg),Manual,Diesel,KEIGHLEY ,7495,2.0,5,Unknown,TDCi 150 Titanium X 2WD,8.922124823918258
Citroen,DS5,2013,78,2013 (63 reg),Auto,Diesel,Rotherham ,6350,2.0,5,Euro 5,HDi DStyle Auto,8.756367559802975
Porsche,Boxster,2022,13,2022 (22 reg),Auto,Petrol,Bramham ,50000,2.0,2,Unknown,PDK,10.819798284210286
BMW,3 Series,2021,90,2021 (21 reg),Auto,Diesel,Oldham ,30240,3.4,5,Unknown,M340d xDrive MHT Step Auto,10.316953898529778
Porsche,Cayenne,2020,46,2020 (70 reg),Auto,Hybrid,Dronfield ,52985,1.6,5,Unknown,E-Hybrid Tiptronic S Coupe,10.877783006696857
Renault,Clio,2013,95,2013 (13 reg),Manual,Petrol,Wakefield ,3500,0.9,5,Unknown,TCE 90 Dynamique MediaNav Energy,8.160803920954665
BMW,3 Series,2020,70,2020 (20 reg),Auto,Hybrid,oldham ,24995,2.0,4,Unknown,- 320d M Sport Pro Edition Saloon,10.126471091048971
Citroen,Berlingo,2010,89,2010 (10 reg),Manual,Petrol,Wakefield ,4000,1.6,5,Unknown,i 16V VTR,8.294299608857235
Audi,A3,2017,174,2017 (17 reg),Auto,Diesel,Bradford ,8995,2.0,5,Unknown,TDI Black Edition S Tronic,9.104535313079205
Nissan,Qashqai,2014,110,2014 (14 reg),Manual,Diesel,Barnsley ,5695,1.5,5,Unknown,dCi Tekna,8.647519453091812
Land Rover,Defender 110,2021,24,2021 (21 reg),Auto,Petrol,Sheffield ,87480,5.0,5,Euro 6 (s/s),- P525 V8 Carpathian Edition SUV Petrol Auto 4WD (525 ps,11.37917690590964
Nissan,GT-R,2015,46,2015 (65 reg),Auto,Petrol,Cottingley ,56995,1.6,2,Unknown,- V6 Premium Black,10.95073636891568
Ford,Ranger,2025,5,2025 (74 reg),Auto,Diesel,Sheffield ,45900,2.0,4,Euro 6 (s/s),- TD EcoBlue Wildtrak Pickup Double Cab Diesel Auto 4WD,10.734242182303689
Nissan,Qashqai,2016,85,2016 (66 reg),Auto,Diesel,Oldham ,8595,1.6,5,Unknown,dCi Tekna Xtronic,9.059052257762401
Porsche,911,2023,7,2023 (23 reg),Auto,Petrol,Boroughbridge ,129995,3.0,2,Euro 6 (s/s),992 4 GTS Targa PDK 4WD,11.775258959733568
Volkswagen,Caravelle,2018,17,2018 (18 reg),Auto,Diesel,Wakefield ,29990,2.0,5,EURO 6,2018 VOLKSWAGEN CARAVELLE TDI BlueMotion TECH EXECUTIVE DSG,10.30865261563529
Porsche,911,2022,13,2022 (22 reg),Auto,Petrol,Boroughbridge ,119895,3.0,2,Euro 6 (s/s),992 4 GTS Targa PDK 4WD,11.694379979324832
Audi,A6 Saloon,2011,146,2011 (11 reg),Manual,Diesel,Ossett ,4995,2.0,4,Unknown,- TDI S Line,8.516392871245468
Volkswagen,Golf,2013,95,2013 (63 reg),Manual,Diesel,Dukinfield ,7150,2.0,3,Euro 5 (s/s),TDI BlueMotion Tech GT,8.875007486048396
Hyundai,i20,2013,133,2013 (13 reg),Manual,Petrol,Greasborough ,1895,1.2,5,Unknown,Classic,7.547501682814967
Mercedes-Benz,GLE-Class,2019,107,2019 (19 reg),Auto,Petrol,Rochdale ,31979,3.0,5,Euro 6 (s/s),GLE450h MHEV AMG Line (Premium Plus) G-Tronic 4MATIC (,10.372865986387945
BMW,M5,2025,3,2025 (25 reg),Auto,Hybrid,Boroughbridge ,97995,4.4,4,Euro 6 (s/s),2kWh Steptronic xDrive,11.492681940493169
SEAT,Ibiza,2012,49,2012 (12 reg),Manual,Petrol,Leeds ,5240,1.2,3,Euro 5,TSI FR Sport Coupe,8.564267598802166
BMW,5 Series,2025,101,2025 (25 reg),Auto,Not Supplied,Harrogate ,70570,1.6,5,Unknown,- 530e M Sport Auto,11.164374574221812
Land Rover,Range Rover Sport,2018,65,2018 (18 reg),Auto,Petrol,Bradford ,27590,3.0,5,Unknown,V6 S/C HSE Dynamic Auto,10.225244911570808
Ford,Fiesta,2009,115,2009 (9 reg),Manual,Petrol,Rochdale ,1995,1.6,3,Unknown,Zetec S,7.59890045687141
Nissan,GT-R,2014,75,2014 (64 reg),Auto,Petrol,York ,47786,3.8,2,Euro 5,V6 Premium Black Coupe Petrol Auto 4WD (550 ps),10.774508914962748
Hyundai,KONA,2025,372,2025 (25 reg),Auto,Hybrid,Bradford ,31590,1.6,5,Unknown,- Hybrid 129 Ultimate DCT,10.360627548882315
Ford,Focus,2013,41,2013 (62 reg),Manual,Diesel,Cleckheaton ,5995,1.6,5,Euro 5 (s/s),TDCi Zetec S,8.698847859222488
Audi,A4,2004,163,2004 (54 reg),Auto,Diesel,Goole ,1495,1.9,4,Unknown,Audi A4 TDI 130 SE AutoMatic,7.310550158534422
MINI,Clubman,2016,105,2016 (66 reg),Manual,Petrol,Ashton-Under-Lyne ,6495,1.5,6,Euro 6 (s/s),Cooper,8.778941881841513
Mercedes-Benz,Other,2023,38,2023 (72 reg),Auto,Hybrid,Sheffield ,62980,1.6,5,Unknown,- GLE 53 4MATICPLUS PREMIUM PLUS SLIDING PANORAMIC ROOF,11.050588372585487
Rolls-Royce,Silver Dawn,2017,33,2017 (67 reg),Auto,Petrol,Ackworth ,149995,6.6,2,Euro 6,V12 Auto,11.918363906056165
Land Rover,Defender 110,2021,28,2021 (21 reg),Auto,Diesel,Sheffield ,49890,3.0,5,Euro 6 (s/s),- D200 MHEV SUV Diesel Auto 4WD (200 ps),10.817595904751217
Land Rover,Range Rover Sport,2015,79,2015 (65 reg),Auto,Diesel,Bradford ,17990,3.0,5,Unknown,SDV6 [306] HSE Dynamic Auto,9.79762691183662
Citroen,C1,2006,114,2006 (6 reg),Manual,Petrol,Keighley ,995,1.0,3,Unknown,- i Vibe,6.903747257584598
Mercedes-Benz,V-Class,2017,97,2017 (17 reg),Auto,Diesel,Wakefield ,30990,2.2,5,EURO 6,2017 MERCEDES BENZ V CLASS V250D CDI AMG LINE 7G-TRONIC XLWB,10.341452118734878
